"lake_id","lake_name","institution","latitude","longitude","elevation_m","area_ha","mean_depth_m","max_depth_m","residence_time_yr","known_manipulations"
"AL","Allequash Lake","NTL-LTER",46.038,-89.621,494,164.2,2.9,8,0.5,NA
"BARC","Barco Lake","NEON",29.675982,-82.008414,27,12,2.14073333333333,6,3.3,NA
"BM","Big Muskellunge Lake","NTL-LTER",46.021,-89.612,500,363.4,7.5,21.3,8,NA
"BVR","Beaverdam Reservoir","WVWA",37.313,-79.816,NA,39.397,3.44478164327233,14,0.9,NA
"CB","Crystal Bog","NTL-LTER",46.008,-89.606,503,0.5357,1.80324808661564,2.5,2.6,NA
"CR","Crystal Lake","NTL-LTER",46.003,-89.612,502,37.5,10.4,20.4,12.7,"Thermal manipulation [2012-2013], Invasive smelt removal [2002-2009], Cisco introduction [2020-present]"
"CRAM","Crampton Lake","NEON",46.209675,-89.473688,509,26,3.42205384615385,19,4.9,NA
"FCR","Falling Creek Reservoir","WVWA",37.30333,-79.8375,509,12.1371,2.54456477247448,9.3,0.68,NA
"FI","Fish Lake","NTL-LTER",43.287,-89.652,261,80.4,6.6,18.9,NA,NA
"GL4","Green Lake 4","NWT-LTER",40.05545,-105.62091,3550,5.3,4.1,13,0.0586301369863014,NA
"LIRO","Little Rock Lake","NEON",45.998269,-89.704767,501,19,2.45661578947368,10,3.4,NA
"ME","Lake Mendota","NTL-LTER",43.099,-89.405,259,3961.2,12.8,25.3,4.3,"Piscivore stocking [1987-1999]"
"MO","Lake Monona","NTL-LTER",43.063,-89.361,258,1359.8,8.2,22.5,0.7,NA
"PRLA","Prairie Lake","NEON",47.15909,-99.11388,565,23,1.69316956521739,4,3.8,NA
"PRPO","Prairie Pothole","NEON",47.129839,-99.253147,579,11,1.44109090909091,4,3.2,NA
"SP","Sparkling Lake","NTL-LTER",46.008,-89.701,495,63.7,10.9,20,10.4,"Invasive crayfish removal [2001-2008], Invasive smelt removal [2002-2009], Cisco introduction [2020-present]"
"SUGG","Suggs Lake","NEON",29.68778,-82.017745,32,31,1.33985806451613,3,1.6,NA
"TB","Trout Bog","NTL-LTER",46.041,-89.686,499,1.1,5.60845454545455,7.9,6.4,NA
"TOOK","Toolik Lake","NEON",68.630692,-149.61064,715,148,8.5,25,1,NA
"TR","Trout Lake","NTL-LTER",46.029,-89.665,492,1565.1,14.6,35.7,4.5,NA
"WI","Lake Wingra","NTL-LTER",43.053,-89.425,259,136.2,2.7,4.2,0.44,"Carp removal [2007-2009]"
