Depth,chla,temp,fdom,phyco,do,secview,tp,drp,tn,nh4,dic,doc
0,0.000694444,0.000694444,0.000694444,0.000694444,0.000694444,1123.5,14,14,15,14,28,28
0.5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0.041666667,NA,NA,14,NA,353.5,353,NA,353.5,373,375
1.5,NA,0.041666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,14,0.041666667,NA,NA,14,NA,106,NA,106,106,NA,106
2.5,NA,0.041666667,NA,NA,1448,NA,NA,NA,NA,NA,NA,NA
3,364.5,0.041666667,NA,NA,14,NA,106,NA,106,106,NA,1376
3.5,NA,3832.5,NA,NA,3832.5,NA,NA,NA,NA,NA,NA,NA
4,14,0.041666667,NA,NA,14,NA,14,14,15,14,28,28
4.5,NA,1863.5,NA,NA,1863.5,NA,NA,NA,NA,NA,NA,NA
5,365,0.041666667,NA,NA,14,NA,106,NA,106,106,NA,1376
5.5,NA,374,NA,NA,374,NA,NA,NA,NA,NA,NA,NA
6,14,0.041666667,NA,NA,14,NA,364,350,364,NA,364,364
6.5,NA,273,NA,NA,273,NA,NA,NA,NA,NA,NA,NA
7,32,0.041666667,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
7.5,NA,27,NA,NA,27,NA,NA,NA,NA,NA,NA,NA
8,14,0.041666667,NA,NA,14,NA,28,30,63.5,31.5,29,28.5
8.5,NA,27,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA
9,56,0.041666667,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
9.5,NA,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
10,14,0.041666667,NA,NA,14,NA,28,28,29.5,29,29,29
10.5,NA,16,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
11,46,0.041666667,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
11.5,NA,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
12,14,0.041666667,NA,NA,14,NA,29,29.5,56,30,28,28
12.5,NA,25,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
13,NA,0.041666667,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
13.5,NA,28,NA,NA,28,NA,NA,NA,NA,NA,NA,NA
14,NA,0.041666667,NA,NA,14,NA,28,28,28,29,29,29
14.5,NA,161,NA,NA,161,NA,NA,NA,NA,NA,NA,NA
15,NA,0.041666667,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
15.5,NA,322,NA,NA,322,NA,NA,NA,NA,NA,NA,NA
16,NA,0.041666667,NA,NA,14,NA,29,29,30,29,28,28
16.5,NA,322,NA,NA,322,NA,NA,NA,NA,NA,NA,NA
17,NA,0.041666667,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
17.5,NA,364,NA,NA,364,NA,NA,NA,NA,NA,NA,NA
18,NA,0.041666667,NA,NA,14,NA,29,29,28.5,29,29,29
18.5,NA,232,NA,NA,232,NA,NA,NA,NA,NA,NA,NA
19,NA,0.041666667,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19.5,NA,293.5,NA,NA,294,NA,NA,NA,NA,NA,NA,NA
20,NA,0.041666667,NA,NA,14,NA,28,28,29,28,29,28
20.5,NA,294,NA,NA,294,NA,NA,NA,NA,NA,NA,NA
21,NA,0.041666667,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21.5,NA,370,NA,NA,332,NA,NA,NA,NA,NA,NA,NA
21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,14,NA,NA,14,NA,28,29,30,29,29,29
22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22.5,NA,385,NA,NA,385,NA,NA,NA,NA,NA,NA,NA
22.8,NA,3344,NA,NA,3344,NA,NA,NA,NA,NA,NA,NA
22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,14,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.3,NA,4768,NA,NA,4768,NA,NA,NA,NA,NA,NA,NA
23.5,NA,514.5,NA,NA,514.5,NA,NA,NA,NA,NA,NA,NA
23.6,NA,521,NA,NA,521,NA,NA,NA,NA,NA,NA,NA
23.7,NA,114,NA,NA,114,NA,NA,NA,NA,NA,NA,NA
23.8,NA,1075,NA,NA,1075,NA,NA,NA,NA,NA,NA,NA
23.9,NA,310,NA,NA,310,NA,NA,NA,NA,NA,NA,NA
24,NA,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
24.1,NA,629,NA,NA,629,NA,NA,NA,NA,NA,NA,NA
24.2,NA,154.5,NA,NA,154.5,NA,NA,NA,NA,NA,NA,NA
24.3,NA,84,NA,NA,84,NA,NA,NA,NA,NA,NA,NA
24.4,NA,59.5,NA,NA,59.5,NA,NA,NA,NA,NA,NA,NA
24.5,NA,42,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
24.6,NA,235,NA,NA,235,NA,NA,NA,NA,NA,NA,NA
24.7,NA,119,NA,NA,119,NA,NA,NA,NA,NA,NA,NA
24.8,NA,678,NA,NA,678,NA,NA,NA,NA,NA,NA,NA
24.9,NA,503.5,NA,NA,503.5,NA,NA,NA,NA,NA,NA,NA
25,NA,322,NA,NA,322,NA,NA,NA,NA,NA,NA,NA
25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.2,NA,27,NA,NA,27,NA,NA,NA,NA,NA,NA,NA
